date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:34	88832/88832	---MCZ	200	added ('OK')	text/html	etag:%22b9b952176ce2b2ece2d2eac644ac6368-ssl-df%22	https://medash.netlify.app/html/hos-doctor-dash	H:/bgt/medash.netlify.app/html/hos-doctor-dash.html	(from )
18:35:34	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1676124573-ssl-df	https://medash.netlify.app/robots.txt		(from )
18:35:35	947/947	---M--	200	added ('OK')	image/png	etag:%22bbe387c37013e075819ce63e58ff2e16-ssl%22	https://medash.netlify.app/assets/images/favicon.png	H:/bgt/medash.netlify.app/assets/images/favicon.png	(from https://medash.netlify.app/html/hos-doctor-dash)
18:35:36	3900/3900	---M--	200	added ('OK')	image/png	etag:%226047a60f0ad390b77c8b6d9445036f4a-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-57-precomposed.png	H:/bgt/medash.netlify.app/assets/images/apple-touch-icon-57-precomposed.png	(from https://medash.netlify.app/html/hos-doctor-dash)
18:35:37	11305/11305	---M--	200	added ('OK')	image/png	etag:%224c33f555710781d30ec7cc0db8944c01-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-114-precomposed.png	H:/bgt/medash.netlify.app/assets/images/apple-touch-icon-114-precomposed.png	(from https://medash.netlify.app/html/hos-doctor-dash)
18:35:37	5185/5185	---M--	200	added ('OK')	image/png	etag:%220fe41844e76547b1f004d98a89911838-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-72-precomposed.png	H:/bgt/medash.netlify.app/assets/images/apple-touch-icon-72-precomposed.png	(from https://medash.netlify.app/html/hos-doctor-dash)
18:35:38	11016/11016	---M--	200	added ('OK')	image/png	etag:%227e7ff761f7fa549cf8a46d503054ce6e-ssl%22	https://medash.netlify.app/assets/images/apple-touch-icon-144-precomposed.png	H:/bgt/medash.netlify.app/assets/images/apple-touch-icon-144-precomposed.png	(from https://medash.netlify.app/html/hos-doctor-dash)
18:35:39	2161/2161	---M-Z	200	added ('OK')	text/css	etag:%2263c6e4d7ab43a32c56e7d1024e6aeeca-ssl-df%22	https://medash.netlify.app/assets/plugins/pace/pace-theme-flash.css	H:/bgt/medash.netlify.app/assets/plugins/pace/pace-theme-flash.css	(from https://medash.netlify.app/html/hos-doctor-dash)
18:35:40	121260/121260	---MCZ	200	added ('OK')	text/css	etag:%22e59e8f3d7097080d91177a22fedac806-ssl-df%22	https://medash.netlify.app/assets/plugins/bootstrap/css/bootstrap.min.css	H:/bgt/medash.netlify.app/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://medash.netlify.app/html/hos-doctor-dash)
18:35:40	23409/23409	---MCZ	200	added ('OK')	text/css	etag:%22e3515c2748ce1cd20df925ed9fb5a420-ssl-df%22	https://medash.netlify.app/assets/plugins/bootstrap/css/bootstrap-theme.min.css	H:/bgt/medash.netlify.app/assets/plugins/bootstrap/css/bootstrap-theme.min.css	(from https://medash.netlify.app/html/hos-doctor-dash)
